area,area_code,item,item_code,element,element_code,unit,y2020,y2021,y2022,y2023,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Brazil,21,Apples,515,Producer Price (USD/tonne),5532,USD,341.1,334.4,365.3,430.4,218.4,366.7,254.2,388.1,430.4,356.2,351.6,363.6,197.4,199,199.6,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,430.4,314,380.7
Brazil,21,Oats,75,Producer Price (USD/tonne),5532,USD,132.2,177.2,220.9,220.9,102.3,79.2,73.5,124.9,143.8,137.3,113.2,98.2,64.5,83.1,83.4,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,220.9,112.4,117.1
Brazil,21,Wheat,15,Producer Price (USD/tonne),5532,USD,207.1,258.9,293.9,293.9,87.6,106.6,100.4,129.4,154.7,187,139.1,131.8,108.6,118.6,106.8,127.6,147.8,140.2,142,156.3,226.9,277.7,213.8,233.1,245.1,293.9,293.9,293.9,293.9,293.9,293.9,191.8,184.8
Canada,33,Apples,515,Producer Price (USD/tonne),5532,USD,490.1,544.5,562.9,578.5,247,221.7,205.4,199.2,229.5,250.8,252.1,221.8,208,228.9,231.2,244.7,271.9,286.7,302.9,323.9,359.1,383.8,361.3,397.8,408,529.5,553,475.2,414.8,429.4,463.1,482.1,477.4
Canada,33,Oats,75,Producer Price (USD/tonne),5532,USD,161,220.9,345.9,223.6,64.6,80.2,73.6,65.9,80.9,111.5,88.1,74.2,60.6,59.3,82,117.2,102.1,93.8,95.7,112.6,150.4,184.9,128.2,145.7,206.3,203.7,213.3,166,142.2,132.4,145.8,147,159.2
Canada,33,Spinach,373,Producer Price (USD/tonne),5532,USD,1879.6,1905.8,2009,2058.4,782.9,998.6,903.8,800.4,992.4,967.4,834.9,786.7,687.9,740.7,696.7,745.5,865.8,730.2,1127.3,1078.1,1025.5,1254.6,1238.2,1421.6,1681,1686.5,1748.6,1671.9,1521.5,1614.3,1656.6,1713.5,1712.4
Canada,33,Wheat,15,Producer Price (USD/tonne),5532,USD,181.9,256.9,341.5,292.2,86.4,67.8,62,66.6,98.4,120.3,98.2,101.8,95.6,91.6,100.7,114.1,122.1,117.6,98.2,107.5,178.7,273.9,191.4,177.1,237,253.9,252.9,192.3,181.4,174.4,180.7,189.7,180.1
Ecuador,58,Apples,515,Producer Price (USD/tonne),5532,USD,1052,1052,1052,588,271.2,284.3,398.2,801.2,456.2,306.3,329.1,288.3,140,160,303,420,396,354,545,350,564.4,547.7,669,515.6,434.6,518,564.2,618.3,662.5,1052,1051.5,1052,1052
Ecuador,58,Oats,75,Producer Price (USD/tonne),5532,USD,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,160,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6
Ecuador,58,Wheat,15,Producer Price (USD/tonne),5532,USD,436.5,424,512.1,610.2,189.4,176.1,175.6,176.7,194.6,199.4,196.6,184.9,213.6,210,237,200,177,212,191,200.8,271.3,240,260,380,380,453.5,431,425.5,468.6,433.6,454.9,428.5,405.2
United States of America,231,Apples,515,Producer Price (USD/tonne),5532,USD,846.6,815.7,917.1,762.8,395,300,284,284,375,351,340,381,470,282,348,417,414,300,381,500,635,511,509,553,668,818,668,567,741,697,897.3,853.2,720.9
United States of America,231,Oats,75,Producer Price (USD/tonne),5532,USD,175,259.4,314.5,239.9,83,91,94,84,115,138,110,76,77,76,110,125,102,102,112,129,181,217,139,174,240,268,258,221,146,142,178,183,203
United States of America,231,Spinach,373,Producer Price (USD/tonne),5532,USD,1338,1576.3,1472.7,1728.4,1728.4,1728.4,1728.4,1728.4,1728.4,646,438,791,708,728,714,754,814,489,503,659,712,743,871,941,891,930,952,968,1246,972,1517,1312,1303
United States of America,231,Wheat,15,Producer Price (USD/tonne),5532,USD,184,268.2,330.7,264.6,107,119,120,127,167,175,124,97,91,96,102,131,125,125,126,157,238,249,179,209,266,286,252,220,180,143,173,189,167
Uruguay,234,Apples,515,Producer Price (USD/tonne),5532,USD,1325.8,966.6,889,1625.4,486.4,719.1,472,939.7,678.8,636,597.3,548.1,440,475.1,525,456.8,277.5,392.1,323.7,500.3,532.7,1051.4,896.8,1040.4,877.6,1136.8,1625.4,1065.1,777.9,1521.8,1210.1,1289.2,879.3
Uruguay,234,Oats,75,Producer Price (USD/tonne),5532,USD,333.2,333.2,333.2,333.2,102.3,203.9,126.4,132.4,131.7,165.6,333.2,333.2,139.2,155,96.6,121,145.3,168.9,139.2,196.1,185.8,224.9,319.4,288.9,289.3,293.8,333.2,262.5,239.8,174.1,170.1,193.7,200.6
Uruguay,234,Wheat,15,Producer Price (USD/tonne),5532,USD,208,250.9,313.4,324.5,114.3,124,131.2,131.8,152.1,205.3,130.2,119,103.8,113.2,121.9,73.6,147.8,146,138,160,257.6,324.5,220.3,217.5,280.6,262.5,310.9,248.7,188.2,153.5,184,182.5,217.9
