area_code,area
2,Afghanistan
5100,Africa
3,Albania
4,Algeria
5200,Americas
7,Angola
8,Antigua and Barbuda
9,Argentina
1,Armenia
5300,Asia
10,Australia
5501,Australia and New Zealand
11,Austria
52,Azerbaijan
12,Bahamas
13,Bahrain
16,Bangladesh
14,Barbados
57,Belarus
255,Belgium
15,Belgium-Luxembourg
23,Belize
53,Benin
18,Bhutan
19,Bolivia (Plurinational State of)
80,Bosnia and Herzegovina
20,Botswana
21,Brazil
26,Brunei Darussalam
27,Bulgaria
233,Burkina Faso
29,Burundi
35,Cabo Verde
115,Cambodia
32,Cameroon
33,Canada
5206,Caribbean
37,Central African Republic
5204,Central America
5301,Central Asia
39,Chad
40,Chile
351,China
96,China; Hong Kong SAR
128,China; Macao SAR
41,China; mainland
214,China; Taiwan Province of
44,Colombia
45,Comoros
46,Congo
47,Cook Islands
48,Costa Rica
107,Côte d'Ivoire
98,Croatia
49,Cuba
50,Cyprus
167,Czechia
51,Czechoslovakia
116,Democratic People's Republic of Korea
250,Democratic Republic of the Congo
54,Denmark
72,Djibouti
55,Dominica
56,Dominican Republic
5101,Eastern Africa
5302,Eastern Asia
5401,Eastern Europe
58,Ecuador
59,Egypt
60,El Salvador
61,Equatorial Guinea
178,Eritrea
63,Estonia
209,Eswatini
238,Ethiopia
62,Ethiopia PDR
5400,Europe
5707,European Union (27)
64,Faroe Islands
66,Fiji
67,Finland
68,France
69,French Guiana
70,French Polynesia
74,Gabon
75,Gambia
73,Georgia
79,Germany
81,Ghana
84,Greece
86,Grenada
87,Guadeloupe
89,Guatemala
90,Guinea
175,Guinea-Bissau
91,Guyana
93,Haiti
95,Honduras
97,Hungary
99,Iceland
100,India
101,Indonesia
102,Iran (Islamic Republic of)
103,Iraq
104,Ireland
105,Israel
106,Italy
109,Jamaica
110,Japan
112,Jordan
108,Kazakhstan
114,Kenya
83,Kiribati
118,Kuwait
113,Kyrgyzstan
5802,Land Locked Developing Countries
120,Lao People's Democratic Republic
119,Latvia
5801,Least Developed Countries
121,Lebanon
122,Lesotho
123,Liberia
124,Libya
126,Lithuania
5815,Low Income Food Deficit Countries
256,Luxembourg
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
127,Marshall Islands
135,Martinique
136,Mauritania
137,Mauritius
5502,Melanesia
138,Mexico
5503,Micronesia
145,Micronesia (Federated States of)
5102,Middle Africa
141,Mongolia
273,Montenegro
143,Morocco
144,Mozambique
28,Myanmar
147,Namibia
148,Nauru
149,Nepal
5817,Net Food Importing Developing Countries
150,Netherlands (Kingdom of the)
153,New Caledonia
156,New Zealand
157,Nicaragua
158,Niger
159,Nigeria
160,Niue
154,North Macedonia
5103,Northern Africa
5203,Northern America
