reporter_area_code,reporter_area,partner_area_code,partner_area,item_code,item,element_code,element,unit,year_2020,year_2021,year_2022,year_2023
21,Brazil,33,Canada,15,Wheat,5610,Import quantity,t,115073.31,31314.82,34933.39,111170.38
21,Brazil,33,Canada,15,Wheat,5622,Import value,1000 USD,28433,10416,13251,33219
21,Brazil,58,Ecuador,1057,Chickens,5909,Export quantity,1000 An,55,68,69,62
21,Brazil,58,Ecuador,1057,Chickens,5910,Export quantity,t,68.24,85.32,85.61,77.01
21,Brazil,58,Ecuador,1057,Chickens,5922,Export value,1000 USD,8144,10392,10516,10059
21,Brazil,231,United States of America,515,Apples,5910,Export quantity,t,1.07,63.79,0.74,2.17
21,Brazil,231,United States of America,515,Apples,5922,Export value,1000 USD,2,35,3,4
21,Brazil,231,United States of America,373,Spinach,5910,Export quantity,t,0.48,0.01,0.02,0.01
21,Brazil,231,United States of America,373,Spinach,5922,Export value,1000 USD,1,0,0,0
21,Brazil,231,United States of America,15,Wheat,5610,Import quantity,t,733842.59,90009.2,328596.88,107380.93
21,Brazil,231,United States of America,15,Wheat,5622,Import value,1000 USD,178586,29509,144510,30757
21,Brazil,234,Uruguay,515,Apples,5910,Export quantity,t,21.17,0.02,0.11,0.15
21,Brazil,234,Uruguay,515,Apples,5922,Export value,1000 USD,19,0,0,0
21,Brazil,234,Uruguay,1057,Chickens,5909,Export quantity,1000 An,9,9,6,35
21,Brazil,234,Uruguay,1057,Chickens,5910,Export quantity,t,11.1,10.82,7.93,43.1
21,Brazil,234,Uruguay,1057,Chickens,5922,Export value,1000 USD,1322,1407,1079,1858
21,Brazil,234,Uruguay,75,Oats,5610,Import quantity,t,26,50.01,17,100
21,Brazil,234,Uruguay,75,Oats,5622,Import value,1000 USD,7,24,8,61
21,Brazil,234,Uruguay,75,Oats,5910,Export quantity,t,2006.8,831,10697.77,18009.28
21,Brazil,234,Uruguay,75,Oats,5922,Export value,1000 USD,241,167,1915,3250
21,Brazil,234,Uruguay,15,Wheat,5610,Import quantity,t,253870.23,308124.28,243433.26,609492.87
21,Brazil,234,Uruguay,15,Wheat,5622,Import value,1000 USD,61316,88081,90168,210731
33,Canada,21,Brazil,15,Wheat,5910,Export quantity,t,81729,31315,38588,83238
33,Canada,21,Brazil,15,Wheat,5922,Export value,1000 USD,17512,8592,14574,19472
33,Canada,58,Ecuador,75,Oats,5910,Export quantity,t,8876,714.42,2856.59,11277.47
33,Canada,58,Ecuador,75,Oats,5922,Export value,1000 USD,2100,263,970,2998
33,Canada,58,Ecuador,15,Wheat,5910,Export quantity,t,658782,1039110,558923,851615
33,Canada,58,Ecuador,15,Wheat,5922,Export value,1000 USD,147989,315992,229966,258322
33,Canada,231,United States of America,515,Apples,5610,Import quantity,t,166715.76,161058.98,170876.54,135606.18
33,Canada,231,United States of America,515,Apples,5622,Import value,1000 USD,151363,161358,195792,159904
33,Canada,231,United States of America,515,Apples,5910,Export quantity,t,18341.88,22667.89,19904.61,22829.2
33,Canada,231,United States of America,515,Apples,5922,Export value,1000 USD,21461,29881,25432,38116
33,Canada,231,United States of America,1057,Chickens,5609,Import quantity,1000 An,36016,37717,31847,30826
33,Canada,231,United States of America,1057,Chickens,5610,Import quantity,t,12137.66,10882.23,8593.32,8681.27
33,Canada,231,United States of America,1057,Chickens,5622,Import value,1000 USD,58157,62977,65536,72899
33,Canada,231,United States of America,1057,Chickens,5909,Export quantity,1000 An,1764,2803,4124,2864
33,Canada,231,United States of America,1057,Chickens,5910,Export quantity,t,0,0,0,0
33,Canada,231,United States of America,1057,Chickens,5922,Export value,1000 USD,7425,8357,13363,10435
33,Canada,231,United States of America,75,Oats,5610,Import quantity,t,14846.11,19993.59,22737.99,18289.9
33,Canada,231,United States of America,75,Oats,5622,Import value,1000 USD,2304,3350,4131,2991
33,Canada,231,United States of America,75,Oats,5910,Export quantity,t,1535137.41,1381462.66,1203740.12,1394067.05
33,Canada,231,United States of America,75,Oats,5922,Export value,1000 USD,351390,368583,444800,424977
33,Canada,231,United States of America,373,Spinach,5610,Import quantity,t,35373.19,34990,32195.54,28457.96
33,Canada,231,United States of America,373,Spinach,5622,Import value,1000 USD,109254,108079,99653,87247
33,Canada,231,United States of America,373,Spinach,5910,Export quantity,t,1290.31,1610.98,2808.52,2831.48
33,Canada,231,United States of America,373,Spinach,5922,Export value,1000 USD,6517,6927,16800,18744
33,Canada,231,United States of America,15,Wheat,5610,Import quantity,t,181764.6,217699.03,96710.39,58575.79
33,Canada,231,United States of America,15,Wheat,5622,Import value,1000 USD,30017,58978,28627,14279
33,Canada,231,United States of America,15,Wheat,5910,Export quantity,t,1772040,1457836,1681087,2043859
33,Canada,231,United States of America,15,Wheat,5922,Export value,1000 USD,432418,398689,713187,752628
231,United States of America,21,Brazil,1057,Chickens,5909,Export quantity,1000 An,5,22,83,61
231,United States of America,21,Brazil,1057,Chickens,5910,Export quantity,t,0,0,0,0
231,United States of America,21,Brazil,1057,Chickens,5922,Export value,1000 USD,20,389,87,317
231,United States of America,21,Brazil,15,Wheat,5910,Export quantity,t,765147,89298,371036,107694.78
231,United States of America,21,Brazil,15,Wheat,5922,Export value,1000 USD,158722,26227,143424,33044
